row_hash,empresa,titulo,local,estado,data_abertura,data_fechamento,dias_passados,status,vfn,nota
ZXS9oiFD6QQGH+/onOCrPw==,Bradesco Seguros,Dificuldade de solução,Viçosa - MG,MG,2022-04-18,2022-07-21,94,Resolvido,Sim,9
9lPCmAOG44Nw13KZxySWoQ==,MAPFRE Seguros,Serviço ruim e irresponsável.,Belo Horizonte - MG,MG,2022-03-30,2022-06-30,92,Não resolvido,Não,0
Mg38oY4aDEgkmXWSHWkDRA==,Bradesco Seguros,Previdência,Gravataí - RS,RS,2022-04-12,2022-07-11,90,Resolvido,Sim,8
OwuQZ8intwaUH1ijDak2nQ==,Zurich Brasil Seguros,apolice 2 via,Porto Alegre - RS,RS,2022-04-01,2022-06-28,88,Resolvido,Sim,4
wrTr1+cMO617i4a4sEbu9g==,Azul Seguros,PÉSSIMA PRESTAÇÃO DE SERVIÇOS DA AZUL SEGUROS,Jaboatão dos Guararapes - PE,PE,2022-03-29,2022-06-25,88,Não resolvido,Não,2
LofT1lklknWo+oKu1K0FFA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Carro Reserva,Campinas - SP,SP,2022-04-03,2022-06-30,88,Não resolvido,Não,0
udZozuMuc6DVY+BWFGePdA==,HDI Seguros,Reembolso protocolo 60979349,São Paulo - SP,SP,2022-04-05,2022-07-01,87,Resolvido,Sim,10
sJtQZjJ3Da9Ftkr5VL/d+w==,Bradesco Seguros,Cobertura Urgente de Cirurgia,Olímpia - SP,SP,2022-04-23,2022-07-18,86,Não resolvido,Não,3
Rx9GRrzDQsdyTsoD9NPPSQ==,Tokio Marine Seguradora,Nao estão dando atenção pq devo ser terceiro!,Adolfo - SP,SP,2022-04-05,2022-06-30,86,Resolvido,Não,2
Op3uB4XI6mzWWC0LuswxmA==,Zurich Brasil Seguros,NAO COBRIRAM MEU SEGURO SENDO QUE ESTA NO CONTRATO,São Paulo - SP,SP,2022-03-29,2022-06-23,86,Não resolvido,Não,0
X8C/Lc5s95L8gNO5nBsahA==,Azul Seguros,troca do para brisa,Osasco - SP,SP,2022-03-29,2022-06-22,85,Resolvido,Não,0
g3MSCW9HgmzoGCelXwcDsw==,Bradesco Seguros,REEMBOLSO DE GUINCHO,Osasco - SP,SP,2022-04-12,2022-07-06,85,Resolvido,Não,0
Z4kYsqItrF30ush6xO6JdQ==,Zurich Brasil Seguros,Total falta de respeito ao consumidor .,Niterói - RJ,RJ,2022-04-05,2022-06-28,84,Resolvido,Sim,10
jt/5Nkl/gsCuPEN+CL7gEw==,Porto Seguro,Sinistro do terror - Descaso total 2 meses reparo simples,São Paulo - SP,SP,2022-04-05,2022-06-27,83,Não resolvido,Não,0
mRoQI/cxClm+pIUzydqfgg==,HDI Seguros,Não prestar serviços oferecidos.,São Paulo - SP,SP,2022-03-28,2022-06-18,82,Resolvido,Sim,4
mD2ntYSZRwdm9xd3cXT7XQ==,Bradesco Seguros,Empresa irresponsável. Demora no atendimento e não reembolsa,Salvador - BA,BA,2022-04-22,2022-07-12,81,Não resolvido,Não,0
7qf7robpA7l6MZoUVNAmGQ==,Bradesco Seguros,Cancelaram atendimento após horas de espera,São Gonçalo do Rio Abaixo - MG,MG,2022-04-14,2022-07-04,81,Não resolvido,Não,0
oj35H/27QzP6s7XxNLUTPg==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Falta de retorno da empresa,Jacareí - SP,SP,2022-04-05,2022-06-23,79,Não resolvido,Não,0
rCuVYe2x+H3yqPWeegtEMQ==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.","Atendimentos péssimos, e ainda prejudicam e sabotam os clientes.",Barueri - SP,SP,2022-04-12,2022-06-30,79,Não resolvido,Não,0
EdA5XXCvzbLn8YSbe90rUA==,Bradesco Seguros,REEMBOLSO PARCIAL,São Paulo - SP,SP,2022-04-28,2022-07-15,78,Resolvido,Sim,6
WvgptS8P7F82dFH4fi8Jmw==,Bradesco Seguros,Prévia de reembolso na eternidade Bradesco Saude,São Paulo - SP,SP,2022-04-29,2022-07-16,78,Resolvido,Sim,6
B9zU8UqjrZj3YvLUw2W3GA==,MAPFRE Seguros,Saldo Resgate Previdência,Concórdia - SC,SC,2022-03-31,2022-06-17,78,Não resolvido,Não,3
GhnjU6T3kZtX0Azi8JFq9Q==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.","Carro pronto na oficina, mas divergencia de informação.",São Paulo - SP,SP,2022-03-30,2022-06-15,77,Não resolvido,Não,0
MFQgxMa1Hj/E6pu2rxBbPg==,Bradesco Seguros,NÃO RESPONDE EMAIL DE SOLICITAÇÃO,Salvador - BA,BA,2022-04-26,2022-07-11,76,Não resolvido,Sim,5
1iV4xHg3JHqgy0LEQsaRag==,Bradesco Seguros,INFORME DE RENDIMENTOS PGBL PARA IRPF 2022/2021 NÃO DISPONÍVEL INTERNETBANKING,Vinhedo - SP,SP,2022-04-23,2022-07-07,75,Resolvido,Sim,10
ygynbzKpyR3aJIPZgKxGHw==,MAPFRE Seguros,Cancelaram meu seguro mas debitaram o valor,São Paulo - SP,SP,2022-04-13,2022-06-27,75,Resolvido,Não,0
i7D+4lcpn86RwgYGLM1bZA==,Porto Seguro,Demora na disponilização de peça automotiva,São Paulo - SP,SP,2022-04-09,2022-06-22,74,Resolvido,Sim,2
D/+yRyWNj8k0ujkeMwKE+w==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Sem previsão para entrega do carro,Itapetininga - SP,SP,2022-03-31,2022-06-13,74,Resolvido,Não,0
OYZy0bybzcpZaFh4LExtFg==,Porto Seguro,Plano de assinatura Tech Fácil sem respeito pelo cliente. S22 Ultra lançado na fatura em 17/02 e sem receber o aparelho até hoje.,Sobral - CE,CE,2022-04-01,2022-06-14,74,Não resolvido,Não,1
xjY1QmXOCEyl7zvID2vaLA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Mal atendimento,São Paulo - SP,SP,2022-04-08,2022-06-21,74,Não resolvido,Não,0
yG6BedRc/+LWjlXxCFo4Ow==,Bradesco Seguros,Sinistro Não Resolvido,Belo Horizonte - MG,MG,2022-04-30,2022-07-12,73,Não resolvido,Não,0
4Xn9lN60LiLmQp2rzL81mQ==,Bradesco Seguros,"Entrada em sinistro, e no Bradesco disseram que estava inativos",Rio de Janeiro - RJ,RJ,2022-04-22,2022-07-04,73,Não resolvido,Não,0
/Idc2kiDvwDUEqkxvn9ijQ==,HDI Seguros,Falta de Respeito com o Assegurado.,São Paulo - SP,SP,2022-03-28,2022-06-09,73,Resolvido,Não,1
KH1+Z1k7WMmp3m8QkFGWYA==,Tokio Marine Seguradora,TOKIO MARINE falida!,Guzolândia - SP,SP,2022-04-06,2022-06-18,73,Não resolvido,Não,0
hmBJ8n4DD4UiyG21T5rj7A==,Bradesco Seguros,Quero cancelar meu seguro prestamista,São Paulo - SP,SP,2022-04-25,2022-07-06,72,Não resolvido,Sim,4
eZaLmYhH4j2Bt+7v2tN4aA==,Bradesco Seguros,Bradesco Seguro usa de táticas protelatórias para não pagar o prêmio,Itatiba - SP,SP,2022-04-28,2022-07-08,71,Não resolvido,Não,0
B4JkSqDJZ0/fZxxsIKBXLw==,Azul Seguros,Se recusam a fazer a vistoria complementar.,São Paulo - SP,SP,2022-03-30,2022-06-09,71,Resolvido,Não,1
+p7G5miwQNhgVGb9ZU+UOA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Desrespeito com o consumidor,São Paulo - SP,SP,2022-03-30,2022-06-09,71,Resolvido,Não,5
r+GLyfCnG2HvPUgb95EbKg==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Cliente não é comunicado de falha no pagamento,Catanduva - SP,SP,2022-03-30,2022-06-09,71,Não resolvido,Não,5
514aueu/FuYwxk7Vjqa3mg==,Tokio Marine Seguradora,Propaganda enganosa,Brasília - DF,DF,2022-04-06,2022-06-15,70,Resolvido,Sim,10
EMY+dL41IeV6j4MJ9Hj1kg==,Porto Seguro,Não indico esse seguro a ninguém!,Recife - PE,PE,2022-04-07,2022-06-16,70,Não resolvido,Não,0
4HXeo9P2uFzn0YG3Cr9/Ow==,Porto Seguro,Porto Seguro tem me causado diversos transtornos,Uibaí - BA,BA,2022-03-29,2022-06-07,70,Não resolvido,Não,0
QncfLiWPUlpyetsXuLl9Kg==,Zurich Brasil Seguros,Não consigo acionar a garantia estendida,Pindamonhangaba - SP,SP,2022-04-03,2022-06-12,70,Não resolvido,Não,0
08fdqzgmVWZjZlKee4Izkg==,Bradesco Seguros,Paga cara e não presta,São Paulo - SP,SP,2022-04-29,2022-07-08,70,Não resolvido,Não,0
czE+DzNkcBDYW+HfCWfjhQ==,Bradesco Seguros,Não consigo encontrar psicólogo que atenda online,São Paulo - SP,SP,2022-04-26,2022-07-04,69,Resolvido,Sim,10
Rynt3+mOpJ+9JNI7dv5NSQ==,Azul Seguros,Não consigo consertar meu veículo,São Paulo - SP,SP,2022-04-07,2022-06-15,69,Não resolvido,Não,5
T885SKCTDGculf5KOvUy2w==,AIG Seguros Brasil,Atraso no pagamento do seguro de Proteção de Preço,Salvador - BA,BA,2022-04-16,2022-06-24,69,Não resolvido,Não,0
qzvzO+KsOz0e11XYywBq2Q==,Bradesco Seguros,Dificuldade e morosidade na aprovação de cirurgia cervical,Brasília - DF,DF,2022-04-13,2022-06-20,68,Resolvido,Sim,8
6Jed8MCDPyHot4PbLmgr+A==,Porto Seguro,Porto Seguro não aprova meu seguro fiança.,São Paulo - SP,SP,2022-04-07,2022-06-14,68,Não resolvido,Não,0
7MJb51rBIdURdBr1/5WedQ==,Bradesco Seguros,Contratei o seguro e não me enviam a apolice,Osasco - SP,SP,2022-04-28,2022-07-04,67,Resolvido,Não,0
//bfCXkWjEcqGJ2vOpRshw==,Bradesco Seguros,SEGURO RESIDENCIAL,Goiânia - GO,GO,2022-04-19,2022-06-25,67,Resolvido,Não,0
j2hK+Q285x3SdixZ+4bEvw==,Bradesco Seguros,Credenciado não atendeu paciente,São Paulo - SP,SP,2022-04-28,2022-07-04,67,Resolvido,Sim,6
At1mjuBYYZna4Knn/3ZEoA==,Bradesco Seguros,Sinistro - Peças Não chega a Oficina,Guarulhos - SP,SP,2022-04-29,2022-07-05,67,Não resolvido,Não,0
OvmRRluwV7Gt1U3FsR1TmA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Companhia Negligente - Carro de enchente + de 20 dias com água dentro! Perito só veio faZer a perícia 20 dias depois!,Rio Claro - SP,SP,2022-04-20,2022-06-26,67,Resolvido,Sim,10
l6rSeezg6+opsms//Cuvvw==,Porto Seguro,Desastrosa e Vergonhosa a operação do TechFácil,São Paulo - SP,SP,2022-04-07,2022-06-13,67,Resolvido,Não,7
hN/LGM4DyYoldoPaEif//g==,AIG Seguros Brasil,Não recebi valor que foi aprovado da solicitação,São José dos Campos - SP,SP,2022-03-29,2022-06-03,66,Resolvido,Sim,10
A+C03SjLoe3QcnTSjhXD3g==,Tokio Marine Seguradora,"SEGURADORA CRIA REGRAS QUE NÃO CONSTAM NA APÓLICE E DEIXA O CLIENTE ESPERANDO POR GUINCHO POR 12HORAS, SENDO QUE O CLIENTE TEM DIREITO A GUINCHO CONFORME ESTABELECIDO EM APÓLICE, SEGURADORA PROCURA SOLUÇÃO ECONÔMICA PARA ELES, NÃO RESPEITANDO O DIREITO DE",São Bernardo do Campo - SP,SP,2022-04-05,2022-06-10,66,Não resolvido,Não,1
bVL3vR+oPurFNrsPAVEJlA==,HDI Seguros,Devolução de pagamento,São Paulo - SP,SP,2022-03-26,2022-05-30,65,Resolvido,Não,5
nRc5wqUlYNvcz32o5grSJg==,Porto Seguro,Não cumprem acordo!,São Paulo - SP,SP,2022-04-06,2022-06-10,65,Não resolvido,Não,0
8DTlH06muORNXm33kbQ6Iw==,Bradesco Seguros,[Editado pelo Reclame Aqui] COM PEÇAS REMANOFATURADAS,Guarulhos - SP,SP,2022-04-14,2022-06-17,64,Resolvido,Sim,10
oij2q1yfXozdZf/SdeT8OA==,Bradesco Seguros,Cópia da APÓLICE DO SEGURO DE VIDA da minha mãe,Rio de Janeiro - RJ,RJ,2022-04-25,2022-06-27,63,Resolvido,Não,3
3fu+tl0kpeQ276TyI+wv/Q==,Bradesco Seguros,"Bradesco Seguro se recusando a cumprir o contrato de cobertura de faróis, lanterna e retrovisores - PÉSSIMO SEGURO",São Paulo - SP,SP,2022-04-25,2022-06-27,63,Não resolvido,Não,0
ZJZ9kqTrWRZ3ncRgv7nXtQ==,MAPFRE Seguros,Cobrança indevida,Uberaba - MG,MG,2022-04-11,2022-06-13,63,Resolvido,Sim,8
OMQnN0zDF6lnI8NSIR3T4Q==,MAPFRE Seguros,ENCAMINHADA PARA O REPARO DO CELULAR EM UM OUTRO ESTADO,Rio de Janeiro - RJ,RJ,2022-03-30,2022-06-01,63,Resolvido,Não,3
xU/G2O2Im6UuEKp5W6qMSg==,HDI Seguros,HDI SEGUROS - SEM SEMSIBILIDADE E BOM SENSO.,Jaboatão dos Guararapes - PE,PE,2022-04-18,2022-06-20,63,Não resolvido,Não,0
l87kwZHq0Cd63mPpkHD4/w==,Porto Seguro,Seguradora não indeniza cliente conforme o contratado,Belo Horizonte - MG,MG,2022-03-28,2022-05-30,63,Não resolvido,Não,0
iJAXTvMT6fM/sDdfQkxuNQ==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Descaso no atendimento de sinistro residencial,São Paulo - SP,SP,2022-04-27,2022-06-29,63,Não resolvido,Não,0
diYcbaQj4YX5DlVl8NwsaA==,Porto Seguro,Cobrança indevida,Campinas - SP,SP,2022-04-05,2022-06-06,62,Resolvido,Não,0
wCGN0jgcXRMXRmJVwL/w2A==,Porto Seguro,Cobrança Indevida,Guarapari - ES,ES,2022-03-27,2022-05-28,62,Resolvido,Não,3
OQUTdSCqBV7mGsl9n3AGEw==,Bradesco Seguros,SEGURO VIAGEM,Taubaté - SP,SP,2022-05-07,2022-07-07,61,Resolvido,Não,3
Odcf5xfqBec3WEVrK4W/0Q==,Bradesco Seguros,Espera por liberação de exame,Taubaté - SP,SP,2022-04-21,2022-06-21,61,Resolvido,Sim,9
Fu7ZcXop8VWz3d3Qs90DaA==,HDI Seguros,Agendamento de vistoria não cumprido,Belo Horizonte - MG,MG,2022-04-07,2022-06-07,61,Resolvido,Não,4
YlGoWgo4XUyqd0cB6MMkTg==,Azul Seguros,falta de respeito,São Paulo - SP,SP,2022-04-29,2022-06-29,61,Não resolvido,Não,0
3fa9i4K+m5UzxMN3N7586g==,Bradesco Seguros,Venda Inapropriada,Santo Antônio de Jesus - BA,BA,2022-05-05,2022-07-05,61,Não resolvido,Não,0
nS3ZzZtcbcCMYzgF7TaRfQ==,Bradesco Seguros,limite sessões reembolso,Rio de Janeiro - RJ,RJ,2022-04-14,2022-06-13,60,Resolvido,Não,5
KB4K3Z+aFrteTHzYm3t7fA==,MAPFRE Seguros,Mudança de valor sem Mudança de Contrato,Cabo de Santo Agostinho - PE,PE,2022-04-14,2022-06-13,60,Resolvido,Sim,10
JvWZuyYAeWMl6Qh1v6J2hw==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",estou sem carro reserva e sem meu carro consertado,Bauru - SP,SP,2022-04-30,2022-06-29,60,Resolvido,Sim,3
DQiY4PXV+MK8YmFHfWr1MA==,HDI Seguros,Empresa não autoriza meu conserto,Belo Horizonte - MG,MG,2022-04-26,2022-06-25,60,Resolvido,Não,8
OHv2kfz9Zjk8i3HL1RMv0Q==,HDI Seguros,Lucro cessante não autorizado,Vila Velha - ES,ES,2022-05-04,2022-07-02,59,Resolvido,Sim,3
OdmalQhtIr4/gx68Woz3BQ==,HDI Seguros,APP NÃO FUNCIONA,Sorocaba - SP,SP,2022-04-07,2022-06-05,59,Resolvido,Sim,7
Z3O8PeXHBKyn7piumjnC1A==,AIG Seguros Brasil,Seguro proteção de preço não pago,São Paulo - SP,SP,2022-04-29,2022-06-27,59,Resolvido,Sim,5
db0W0G7T9tJO9XsTGS/O9w==,Bradesco Seguros,Boleto,Piedade - SP,SP,2022-05-20,2022-07-18,59,Resolvido,Sim,5
vUwlsUGcq2QNjb6DuvGRgQ==,AIG Seguros Brasil,Mais de 15 dias que abri um sinistro com todos os documentos enviados e nenhum e-mail de retorno,Campinas - SP,SP,2022-04-04,2022-06-02,59,Resolvido,Não,5
t6Zqxwbq4BMFSVqPL6utww==,Tokio Marine Seguradora,Demora no processo de indenização,Belo Horizonte - MG,MG,2022-04-05,2022-06-03,59,Não resolvido,Não,0
jqSBzprLwzNUjvv/OTMWBw==,Bradesco Seguros,Péssima experiência,Belo Horizonte - MG,MG,2022-04-28,2022-06-25,58,Resolvido,Sim,10
BZOxyrtvWxDNvJ6HkWvGrw==,AIG Seguros Brasil,03746327###03661214,Aracaju - SE,SE,2022-05-04,2022-07-01,58,Resolvido,Sim,0
526/Dw8qSpnFZE0y5bK9bQ==,Zurich Brasil Seguros,Comprei uma geladeira com garantia estendida,Niterói - RJ,RJ,2022-03-28,2022-05-25,58,Resolvido,Sim,10
RvJGJyloe6tAhuBeoZ7k9Q==,Tokio Marine Seguradora,Seguradora não responde aviso de sinistro,São Paulo - SP,SP,2022-04-30,2022-06-27,58,Resolvido,Não,0
0/wNYJeptsEDSdvJ9hiXcw==,Porto Seguro,PORTO SEGURO - CORRETORA SBM - Não respeitam as apólices,São Paulo - SP,SP,2022-04-27,2022-06-24,58,Não resolvido,Não,0
NGqLfLf+bTQ1TlvvVc+/ZA==,AIG Seguros Brasil,Sinistro com data errada,Maringá - PR,PR,2022-03-28,2022-05-25,58,Não resolvido,Não,0
lbvHZqcFpwVnqOix3ozeHA==,Bradesco Seguros,Entrei na minha conta e o Bradesco debito um valor que eu desconheço,Belém - PA,PA,2022-04-26,2022-06-22,57,Resolvido,Sim,10
