row_hash,empresa,titulo,local,data_abertura,data_fechamento,tempo_reclamacao,status,vfn,nota,sentimento
6392166933077324251,Azul Seguros,Terceiro,São Paulo - SP,2022-04-30,2022-06-04,35,Não resolvido,Não,0,negativo
-683824810499664408,Azul Seguros,Vistoria,Osasco - SP,2022-05-12,2022-06-13,32,Não resolvido,Não,0,negativo
-3782708196132880362,Youse Seguros,Guincho,São Paulo - SP,2022-05-01,2022-05-20,19,Resolvido,Não,0,negativo
5330885608360751960,HDI Seguros,Seguro hdi,Santos - SP,2022-06-15,2022-06-30,15,Não resolvido,Não,0,negativo
8259422492754177047,Porto Seguro,Renovação,Rio de Janeiro - RJ,2022-03-28,2022-04-18,21,Não resolvido,Não,0,negativo
2851060130990028895,HDI Seguros,HDI Seguros.,Ipatinga - MG,2022-06-08,2022-07-01,23,Não resolvido,Não,0,negativo
7878286577634776522,Porto Seguro,Manutenção.,Nilópolis - RJ,2022-03-28,2022-04-19,22,Não resolvido,Não,0,negativo
3675420460626141114,Porto Seguro,Tech fácil,Ibiúna - SP,2022-03-30,2022-04-20,21,Não resolvido,Não,0,negativo
-382627982099179560,Porto Seguro,Tech Fácil,Rio de Janeiro - RJ,2022-06-17,2022-06-20,3,Não resolvido,Não,0,negativo
-6212421540412635192,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Descaso,São Bento do Sapucaí - SP,2022-04-12,2022-04-19,7,Não resolvido,Não,0,negativo
3867893365123064487,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",DESCASO,Caçapava - SP,2022-03-31,2022-04-13,13,Resolvido,Não,0,negativo
2155802241195538370,MAPFRE Seguros,BB seguro,Sarandi - PR,2022-06-08,2022-06-14,6,Não resolvido,Não,0,negativo
-1109472697343650210,Porto Seguro,Carro Fácil,São Caetano do Sul - SP,2022-05-02,2022-05-25,23,Resolvido,Não,0,negativo
-7382909958234484035,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Sinistro,São Paulo - SP,2022-05-13,2022-06-24,42,Não resolvido,Não,0,negativo
-6948365161349112074,HDI Seguros,CARRO RESERVA,Caieiras - SP,2022-04-26,2022-05-09,13,Não resolvido,Não,0,negativo
-359865645330428743,Porto Seguro,Insatisfação,São Paulo - SP,2022-04-29,2022-06-09,41,Não resolvido,Não,0,negativo
