sentimento,empresa,tempo_reclamacao,status,titulo,seguro,sinistro,prestamista,carro,cancelamento,protecao,atendimento,rembolso
Negativo,HDI Seguros,4,Não resolvido,Demora no reparo do veículo,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,Reembolso honorários,false,false,false,false,false,false,false,true
Negativo,HDI Seguros,15,Não resolvido,Carro reserva sinistro 010425351170591,false,true,false,true,false,false,false,false
Negativo,HDI Seguros,15,Não resolvido,Terceirizado quebrou uma peça do meu veículo,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,16,Resolvido,DEMORA NA ENTREGA DAS PEÇAS,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,38,Não resolvido,Demora em resolver conserto do veículo,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,2,Não resolvido,SINISTRO CARTA NEGATIVA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,7,Não resolvido,SINISTRO N010353153211852,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,14,Não resolvido,estou a mais de 2 meses sem carro,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,41,Não resolvido,Reparos mal feito pela rede credenciada,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,Serviço de péssima qualidade,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,8,Não resolvido,Renovação de apólice de seguro,true,false,false,false,false,false,false,false
Negativo,HDI Seguros,41,Resolvido,Reparo do veículo ainda não aconteceu,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,11,Resolvido,"Descaso com o usuário, parado há horas na estrada e não enviam o reboque!",false,false,false,false,false,false,false,false
Negativo,HDI Seguros,8,Não resolvido,HDI vende veículo com procuração rejeitada pelo DETRAN/DF impossibilitando a transferência,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,CARRO RESERVA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,10,Não resolvido,NÃO RENOVARAM MEU SEGURO,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,1,Não resolvido,Atendimento não realizado,false,false,false,false,false,false,true,false
Negativo,HDI Seguros,6,Não resolvido,Conserto recusado Sinistro n 010043153208857,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,8,Resolvido,Seguradora não quer pagar tabela FIPE para terceiros,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,19,Não resolvido,COBRANÇA INDEVIDA AO TERCEIRO,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,9,Não resolvido,Seguro que não funciona,true,false,false,false,false,false,false,false
Negativo,HDI Seguros,2,Resolvido,Não recebi reembolso,false,false,false,false,false,false,false,true
Negativo,HDI Seguros,8,Resolvido,Sem respostas sobre sinistro,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,11,Não resolvido,Consertam só que está nas fotos,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,2,Não resolvido,DIFICULDADE DE ACESSO AO CARRO RESERVA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,17,Não resolvido,Pior empresa que já solicitei serviços,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,63,Não resolvido,HDI SEGUROS - SEM SEMSIBILIDADE E BOM SENSO.,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,8,Não resolvido,Tive mais de um problema com a seguradora,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,12,Não resolvido,Assistência 24H NÃO FUNCIONA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,48,Não resolvido,PESSIMA EXPERIÊNCIA COM A HDI - NUNCA MAIS,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,6,Não resolvido,Cancelamento Indevido da Apólice,false,false,false,false,true,false,false,false
Negativo,HDI Seguros,14,Não resolvido,Sinitros de terceiros,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,9,Não resolvido,Atendimento Vergonhoso,false,false,false,false,false,false,true,false
Negativo,HDI Seguros,24,Não resolvido,Sinistro 010465351166842,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,7,Não resolvido,Sinistro não autorizado,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,27,Não resolvido,Sinistro Hdi seguros,true,true,false,false,false,false,false,false
Negativo,HDI Seguros,55,Não resolvido,Fiquei jogando igual lixo pela HDI seguros,true,false,false,false,false,false,false,false
